,Team,Games,W,D,L,Points,Goals,Goals_Against,Shots,Shots_On_Target,League_Position
0,Man United,38,28,5,5,89,83,27,627,342,1
1,Chelsea,38,24,11,3,83,64,24,522,271,2
2,Liverpool,38,20,8,10,68,57,27,592,286,3
3,Arsenal,38,19,11,8,68,63,35,537,276,4
4,Tottenham,38,17,9,12,60,57,54,442,237,5
5,Everton,38,15,13,10,58,52,36,393,199,6
6,Bolton,38,16,8,14,56,47,52,350,184,7
7,Reading,38,16,7,15,55,52,47,353,170,8
8,Portsmouth,38,14,12,12,54,45,42,453,234,9
9,Blackburn,38,15,7,16,52,52,54,418,208,10
10,Aston Villa,38,11,17,10,50,43,41,404,211,11
11,Middlesbrough,38,12,10,16,46,44,49,384,192,12
12,Newcastle,38,11,10,17,43,38,47,405,211,13
13,Man City,38,11,9,18,42,29,44,394,203,14
14,West Ham,38,12,5,21,41,35,59,397,201,15
15,Fulham,38,8,15,15,39,38,60,367,179,16
16,Sheffield United,38,10,8,20,38,32,55,402,202,17
17,Wigan,38,10,8,20,38,37,59,418,205,18
18,Charlton,38,8,10,20,34,34,60,351,168,19
19,Watford,38,5,13,20,28,29,59,344,172,20
20,Man United,38,27,6,5,87,80,22,620,353,1
21,Chelsea,38,25,10,3,85,65,26,497,270,2
22,Arsenal,38,24,11,3,83,74,31,530,289,3
23,Liverpool,38,21,13,4,76,67,28,607,320,4
24,Everton,38,19,8,11,65,55,33,420,234,5
25,Aston Villa,38,16,12,10,60,71,51,414,221,6
26,Blackburn,38,15,13,10,58,50,48,448,237,7
27,Portsmouth,38,16,9,13,57,48,40,501,267,8
28,Man City,38,15,10,13,55,45,53,374,204,9
29,West Ham,38,13,10,15,49,42,50,426,223,10
30,Tottenham,38,11,13,14,46,66,61,493,288,11
31,Newcastle,38,11,10,17,43,45,65,415,221,12
32,Middlesbrough,38,10,12,16,42,43,53,412,231,13
33,Wigan,38,10,10,18,40,34,51,398,192,14
34,Sunderland,38,11,6,21,39,36,59,401,209,15
35,Bolton,38,9,10,19,37,36,54,390,219,16
36,Reading,38,10,6,22,36,41,66,369,191,17
37,Fulham,38,8,12,18,36,38,60,384,206,18
38,Birmingham,38,8,11,19,35,46,62,349,189,19
39,Derby,38,1,8,29,11,20,89,335,182,20
40,Man United,38,28,6,4,90,68,24,621,376,1
41,Liverpool,38,25,11,2,86,77,27,609,311,2
42,Chelsea,38,25,8,5,83,68,24,656,359,3
43,Arsenal,38,20,12,6,72,68,37,554,316,4
44,Everton,38,17,12,9,63,55,37,423,232,5
45,Aston Villa,38,17,11,10,62,54,48,408,225,6
46,Fulham,38,14,11,13,53,39,34,431,234,7
47,Tottenham,38,14,9,15,51,45,45,482,279,8
48,West Ham,38,14,9,15,51,42,45,434,244,9
49,Man City,38,15,5,18,50,58,50,489,267,10
50,Stoke,38,12,9,17,45,38,55,304,137,11
51,Wigan,38,12,9,17,45,34,45,483,227,12
52,Bolton,38,11,8,19,41,41,53,441,244,13
53,Portsmouth,38,10,11,17,41,38,57,442,231,14
54,Blackburn,38,10,11,17,41,40,60,404,219,15
55,Sunderland,38,9,9,20,36,34,54,396,210,16
56,Hull,38,8,11,19,35,39,64,416,213,17
57,Newcastle,38,7,13,18,34,40,59,371,201,18
58,West Brom,38,8,8,22,32,36,67,466,255,19
59,Middlesbrough,38,7,11,20,32,28,57,426,219,20
60,Chelsea,38,27,5,6,86,103,32,697,388,1
61,Man United,38,27,4,7,85,86,28,616,344,2
62,Arsenal,38,23,6,9,75,83,41,560,329,3
63,Tottenham,38,21,7,10,70,67,41,597,348,4
64,Man City,38,18,13,7,67,73,45,454,252,5
65,Aston Villa,38,17,13,8,64,52,39,429,239,6
66,Liverpool,38,18,9,11,63,61,35,519,288,7
67,Everton,38,16,13,9,61,60,49,510,307,8
68,Blackburn,38,13,11,14,50,41,55,434,238,9
69,Birmingham,38,13,11,14,50,38,47,373,220,10
70,Stoke,38,11,14,13,47,34,48,337,170,11
71,Fulham,38,12,10,16,46,39,46,380,210,12
72,Sunderland,38,11,11,16,44,48,56,384,216,13
73,Bolton,38,10,9,19,39,42,67,460,246,14
74,Wolves,38,9,11,18,38,32,56,377,206,15
75,Wigan,38,9,9,20,36,37,79,498,266,16
76,West Ham,38,8,11,19,35,47,66,457,258,17
77,Burnley,38,8,6,24,30,42,82,406,228,18
78,Hull,38,6,12,20,30,34,75,336,181,19
79,Portsmouth,38,7,7,24,28,34,66,466,254,20
80,Man United,38,23,11,4,80,78,37,543,310,1
81,Man City,38,21,8,9,71,60,33,477,276,2
82,Chelsea,38,21,8,9,71,69,33,635,344,3
